game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_myconsistent_oppdipnet_seed0,0,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1908M,35,7,1,18,0,8,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,51,11,15,41,47,9,15,16,28,18,27,0,19
run_1v6_myFRANCE_myconsistent_oppdipnet_seed1,1,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1909R,42,0,2,18,0,13,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,18,9,12,39,63,23,31,21,39,16,42,3,6
run_1v6_myFRANCE_myconsistent_oppdipnet_seed2,2,1v6,FRANCE,consistent,dipnet,stop_after_W1913A,W1913A,52,8,1,3,8,13,1,0,0.2077922077922078,0.003246753246753247,0.02922077922077922,0.2077922077922078,0.5487012987012987,0.003246753246753247,0.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,43,110,15,24,29,56,36,68,25,95,15,33,0,18
run_1v6_myFRANCE_myconsistent_oppdipnet_seed3,3,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1913R,52,2,0,18,0,6,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,26,32,4,4,43,115,35,89,54,69,5,92,47,47
run_1v6_myFRANCE_myconsistent_oppdipnet_seed4,4,1v6,FRANCE,consistent,dipnet,stop_after_W1913A,W1913A,57,0,0,0,10,3,13,8,0.0,0.0,0.0,0.29239766081871343,0.02631578947368421,0.49415204678362573,0.1871345029239766,0,1,0,0,0,0,0,0,0,2,1,0,4,2,3,0,2,1,0,0,0,1,0,0,0,1,1,0,19,26,4,4,21,41,56,84,40,98,38,91,24,55
run_1v6_myFRANCE_myconsistent_oppdipnet_seed5,5,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1909R,42,4,7,18,0,2,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,2,0,0,3,3,1,0,0,0,0,0,34,49,20,28,40,61,22,34,7,15,12,37,0,19
run_1v6_myFRANCE_myconsistent_oppdipnet_seed6,6,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1908R,33,0,0,19,0,8,3,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,13,16,9,12,30,40,14,17,34,40,13,43,17,33
run_1v6_myFRANCE_myconsistent_oppdipnet_seed7,7,1v6,FRANCE,consistent,dipnet,solo_18sc_ITALY,F1910R,44,1,0,6,9,18,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,21,42,13,23,25,32,41,71,33,51,21,35,0,20
run_1v6_myFRANCE_myconsistent_oppdipnet_seed8,8,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1908M,33,1,0,20,0,5,3,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,18,26,14,18,27,35,10,14,34,34,6,53,13,27
run_1v6_myFRANCE_myconsistent_oppdipnet_seed9,9,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1908R,36,1,0,19,0,7,3,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,15,23,9,17,28,33,12,16,31,35,11,47,13,27
