game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed0,0,1v6,AUSTRIA,consistent,dipnet,solo_18sc_AUSTRIA,F1910M,44,19,0,15,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,1,1,0,0,1,2,0,0,3,2,0,0,0,2,0,0,0,0,0,0,37,84,8,11,31,87,13,21,19,25,10,36,1,5
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed1,1,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1911R,51,8,0,19,1,6,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3,0,0,0,1,0,0,1,3,1,0,0,2,0,0,4,4,1,1,0,0,1,0,1,1,0,0,44,96,20,26,50,74,22,36,19,37,10,18,3,8
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed2,2,1v6,AUSTRIA,consistent,dipnet,solo_18sc_AUSTRIA,F1912R,51,18,4,11,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,5,0,1,0,3,6,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,54,83,25,42,33,77,17,34,5,14,12,20,6,21
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed3,3,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1910R,41,2,0,18,0,5,4,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,15,17,7,34,34,68,22,23,46,48,6,35,17,21
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed4,4,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1913R,54,0,0,19,0,4,5,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,23,29,49,110,22,30,25,60,16,108,7,88
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed5,5,1v6,AUSTRIA,consistent,dipnet,max_phases,S1913R,60,16,8,3,0,7,0,0,0.6772486772486772,0.1693121693121693,0.023809523809523808,0.0,0.12962962962962962,0.0,0.0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,60,107,29,58,24,75,22,28,24,41,14,22,8,18
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed6,6,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1913R,60,0,0,19,0,1,0,14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,1,8,0,7,7,12,16,69,86,33,62,31,83,26,44,52,74
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed7,7,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1911R,52,7,1,21,0,2,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1,3,0,0,2,3,0,0,0,0,0,0,1,2,0,0,1,1,0,1,53,67,29,38,47,61,8,19,15,27,9,20,20,23
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed8,8,1v6,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,59,3,0,13,3,10,4,1,0.029605263157894735,0.0,0.555921052631579,0.029605263157894735,0.32894736842105265,0.05263157894736842,0.003289473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,5,16,12,14,56,105,49,84,64,68,6,52,8,20
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed9,9,1v6,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,49,0,5,5,7,0,6,11,0.0,0.09765625,0.09765625,0.19140625,0.0,0.140625,0.47265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,11,0,0,3,0,0,5,6,6,100,27,64,26,71,27,45,7,87,27,102
