game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_myconsistent_oppdipnet_seed0,0,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1910R,45,3,0,3,20,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,54,8,11,28,55,49,67,0,5,10,29,15,39
run_1v6_myGERMANY_myconsistent_oppdipnet_seed1,1,1v6,GERMANY,consistent,dipnet,stop_after_W1913A,W1913A,53,0,0,8,15,0,0,11,0.0,0.0,0.15609756097560976,0.5487804878048781,0.0,0.0,0.2951219512195122,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,7,0,7,12,13,18,42,83,54,102,11,21,15,38,46,89
run_1v6_myGERMANY_myconsistent_oppdipnet_seed2,2,1v6,GERMANY,consistent,dipnet,stop_after_W1913A,W1913A,58,0,0,4,14,15,1,0,0.0,0.0,0.0365296803652968,0.4474885844748858,0.5136986301369864,0.00228310502283105,0.0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,18,26,9,9,35,69,61,99,47,82,20,36,0,20
run_1v6_myGERMANY_myconsistent_oppdipnet_seed3,3,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1913R,59,0,0,3,18,8,3,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,7,19,27,35,24,54,54,85,53,61,4,71,36,52
run_1v6_myGERMANY_myconsistent_oppdipnet_seed4,4,1v6,GERMANY,consistent,dipnet,solo_18sc_ITALY,F1911R,51,0,2,2,12,18,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,0,0,0,2,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,2,1,0,5,16,36,45,19,33,41,73,44,65,5,36,16,23
run_1v6_myGERMANY_myconsistent_oppdipnet_seed5,5,1v6,GERMANY,consistent,dipnet,solo_18sc_ITALY,F1913R,56,0,12,1,3,18,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,3,0,0,7,1,0,0,1,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,22,46,39,74,13,94,45,86,62,102,8,15,2,18
run_1v6_myGERMANY_myconsistent_oppdipnet_seed6,6,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1910M,45,0,1,3,18,7,0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,3,0,1,0,2,3,0,0,3,0,0,1,3,4,0,1,2,0,0,0,1,0,0,5,8,9,15,19,32,43,61,40,50,3,16,28,37
run_1v6_myGERMANY_myconsistent_oppdipnet_seed7,7,1v6,GERMANY,consistent,dipnet,stop_after_W1913A,W1913A,60,0,5,5,9,15,0,0,0.0,0.0702247191011236,0.0702247191011236,0.22752808988764045,0.6320224719101124,0.0,0.0,1,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,32,88,23,92,23,83,62,76,46,66,9,14,0,17
run_1v6_myGERMANY_myconsistent_oppdipnet_seed8,8,1v6,GERMANY,consistent,dipnet,solo_18sc_FRANCE,F1911R,50,0,0,19,0,3,4,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,2,0,0,3,7,14,22,59,71,13,14,34,59,14,47,25,58
run_1v6_myGERMANY_myconsistent_oppdipnet_seed9,9,1v6,GERMANY,consistent,dipnet,max_phases,S1913R,60,0,5,3,11,0,8,7,0.0,0.09328358208955224,0.033582089552238806,0.45149253731343286,0.0,0.23880597014925373,0.1828358208955224,2,2,0,0,0,4,1,0,0,0,5,0,0,1,0,0,1,2,0,0,0,2,1,0,2,2,1,0,4,8,23,38,23,35,35,62,33,48,30,82,24,65
